"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97"
"1",0,0,0,0,0,0,0,0,0,3,15,34,42,26,5,1,0,2,5,8,15,19,17,13,15,15,17,24,20,32,36,43,37,43,37,27,37,35,28,24,35,27,29,18,26,24,16,17,17,18,12,11,13,4,13,9,10,8,3,3,1,2,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,5,10,13,32,13,9,1,1,3,10,18,26,31,28,35,12,7,8,16,16,20,15,19,31,38,48,46,35,22,45,29,34,37,35,25,32,22,21,26,17,8,12,8,9,13,10,6,7,6,8,6,3,5,1,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,5,12,18,11,3,2,2,4,9,13,26,22,24,23,19,17,25,19,31,31,32,39,40,27,30,29,32,27,28,30,35,26,35,37,34,37,22,24,22,16,12,17,7,6,6,7,9,2,3,2,4,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,9,18,27,20,9,2,1,1,3,4,9,15,16,18,9,5,11,17,26,39,20,29,48,35,40,41,46,37,31,39,34,30,33,25,24,28,37,24,22,9,23,15,7,15,10,14,4,2,5,3,5,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,1,3,9,8,9,6,0,0,2,6,13,16,21,28,11,22,16,10,17,11,23,22,30,28,29,37,40,36,44,39,51,51,32,35,45,29,24,32,25,23,17,17,10,16,4,10,7,10,6,6,3,2,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,1,6,19,28,62,40,5,8,0,1,2,4,13,6,11,8,10,12,13,15,25,39,34,24,31,22,13,22,15,22,28,39,32,48,28,36,29,25,28,31,22,21,18,17,16,12,16,6,9,2,11,4,3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,1,7,24,40,61,44,13,2,0,1,6,22,29,42,43,46,26,14,12,17,12,12,15,17,18,21,20,23,26,29,29,27,26,26,17,25,24,23,17,18,13,11,15,6,8,12,13,6,14,5,5,4,4,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,4,18,15,12,3,2,2,4,15,26,28,41,41,45,46,20,36,28,34,38,37,36,29,32,25,15,21,14,23,23,21,23,25,26,18,21,18,16,8,16,17,7,14,10,11,7,9,6,4,2,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,2,3,5,7,13,2,0,1,0,5,7,6,11,16,19,11,16,21,35,51,34,62,62,54,49,46,48,51,39,33,32,30,20,30,21,14,16,18,12,12,7,13,4,6,9,6,5,12,7,4,2,3,1,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,2,10,16,16,20,6,0,1,0,2,0,8,7,3,6,9,6,7,10,11,28,22,31,25,45,46,47,62,55,57,65,45,43,49,43,29,28,21,21,10,13,14,9,11,11,3,1,3,3,3,5,4,2,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
